,Bio,Profession,Gender
372,"For the past three years, _ has been making experimental films and documentaries. _ 2009 film, La Faute Des Fleurs, about Japanese singer Kazuki Tomokawa, won the Sound & Vision Award at the film’s world premiere at CPH:DOX – the Copenhagen International Documentary Festival – in November 2009. _ has been living on the road since December 2008, exploring and recording traditional music, religious rituals, and relationships between music and trance in five continents. These ‘experimental ethnography’ films, released through _ ‘nomadic label’ Collection Petites Planètes, mark a departure from _ earlier line",filmmaker,M
373,"Dr. _ majored in English and Biological Sciences at Stanford University and attended medical school at Washington University in St. Louis, followed by an internal medicine residency at BIDMC. _ subsequently completed a Rabkin Fellowship in Medical Education, an Academy Fellowship in Medical Education at HMS, and a Picker Fellowship in evidence-based medicine. _ holds several leadership roles in faculty development, as Director of the Rabkin Fellowship in Medical Education, Co-Director of the BIDMC Academy of Medical Educators, and the Director of Assessment for the Center for Education at BIDMC. _ is also an associate program director for the internal medicine residency at BIDMC, overseeing competency assessment.",professor,F
374,"_ ran _ own MYOB consultancy business for 10 years in Perth, Western Australia, where _ assisted over 500 businesses with their MYOB accounting systems. In 2008, _ moved to Niseko in Hokkaido and has now re-established _ accounting business to serve expatriates running small businesses in Japan using Xero, MYOB and WorkflowMax.",accountant,M
375,"_ graduated with honors in 2011. Having more than 5 years of diverse experiences, especially in NURSE PRACTITIONER, _ _ _ affiliates with Northwestern Memorial Hospital, and cooperates with other doctors and specialists in many medical groups including Northwestern Medical Faculty Foundation, Rush University Medical Center. Call _ _ _ on phone number (312) 695-0990 for more information and advises or to book an appointment.",nurse,F
376,"_ research focuses mainly on modern Arabic Literature (19th/20th century) in Egypt and the Levant. _ book,The Novel and the Rural Imaginary in Egypt,1880-1985, explores the relationship between the rise of the novel genre, the politics of nationalist representation and the peasant question over the course of the 20th century in Egypt. Dr. _, who is also a practicing literary translator, is currently at work on a book about translation, modernity and popular fiction in early 20th century Egypt.",professor,F
377,"_ articles have been published by Reuters, Guardian, al-Jazeera, and others. This story has been written with the support of Foundation ""Development YES -""Open-pit Mines NO"".",journalist,F
378,"_ lives by _ conviction to save souls and lives. The Atlanta native juggles those duties with _ family life. _ and wife Corrinne have two daughters, Chloe and Mariah.",pastor,M
379,"_ provides a wide range of legal services related to civil matters, with _ main practice involving complex family law cases, including pre- and post-marital agreements, divorce, child custody, international child abduction cases under the Hague Convention, division of assets, succession, and probate and estate administration. _ expertise also extends to labor and employment law.",attorney,F
380,And _’s particularly involved in work with children with developmental difficulties. But _ “NeuroMovement” method provides fascinating possibilities for business leaders who don’t want their brains stuck in a rut.,psychologist,F
381,"_ calls on much of _ UW learning from professors such as Bill Ames, Don Pember, Roger Simpson, Gerald Baldasty, Tony Giffard, Richard Carter, and Richard Kielbowicz to…",professor,M
382,"_ graduated with honors in 1999. Having more than 17 years of diverse experiences, especially in NURSE PRACTITIONER, _ _ _ affiliates with no hospital, and cooperates with other doctors and specialists in medical group K G Sahetya Psc. Call _ _ _ on phone number (270) 796-8800 for more information and advises or to book an appointment.",nurse,F
383,_ was a candidate in the Federal Elections in the riding of Essex and has been politically active since _ was in high school. _ main work has been to involve the youth in politics and in defending the rights of all in society.,teacher,M
384,"In treating patients, _ philosophy is based on respecting children yet caring for them using age-appropriate techniques and loving attention. Understanding the uniqueness of each child and identifying each family’s individual needs is how Dr. _ delivers gentle pediatric dentistry and creates positive dental experiences at Smiles Pediatric Dentistry.",dentist,F
385,"_ areas of expertise include sexually transmitted diseases (STds), sexual dysfunction, and incontinence. Coventry, United Healthcare HSA, and United Healthcare HMO are among the insurance carriers that Dr. _ accepts. Dr. _ attended medical school at New York Medical College and Columbia University, College of Physicians and Surgeons. For _ professional training, Dr. _ completed residency programs at New York-Presbyterian Hospital, The Mount Sinai Medical Center, New York, and Columbia University Medical Center. _ is affiliated with Einstein Healthcare Network and Abington - Jefferson Health. New patients are welcome to contact _ office for an appointment.",physician,M
386,"_ began _ software career at Sun Microsystems, optimizing performance of early versions of java. _ has over ten years of experience analyzing, optimizing and implementing application server and middleware code. Prior entering the software industry, _ worked as a scale-up/manufacturing engineer in the pharmaceutical industry and has a BS in Chemical Engineering.",software_engineer,F
387,"_ obtained _ philology degree from the Magnitogorsk State University and _ Master’s law degree from the Higher School of Economics. _ is the Moscow school of political studies graduate (2012). As a journalist _ writes for the magazine “NZ: Debates on Politics and Culture”, and “Novaya Gazeta”. In 2015 _ studied in the University of Oslo as an exchange student, attended courses “International Human Rights Law: Institutions and Procedures” and “International Criminal Justice and Mass Violence”. _ took place in the training program “The Training Russian and CIS Activists in International Human Rights Law” by the Center for International Protection. Yuliya is a head of the NGO “L. Nikitinsky’s Centre for the legal initiatives”. _ is a co-organizer of the “Reading Circle” online-initiative.",journalist,F
388,"_ specializes in consumer protection litigation in _ multi-jurisdictional practice and has cases in federal courts as well as Minnesota, Michigan, and Texas state courts. _ serves as a board member for the Dispute Resolution Center of St. Paul, Minnesota. _ is one of the most awarded ADR students in MSU Law history, serving as ADR Board President, winning a regional negotiation competition, placing second at a national negotiation competition, and serving as captain of the mediation team competing in Dublin, Ireland. _ served as negotiation and mediation TA and helped facilitate a dramatic expansion of the mediation program at MSU Law.",attorney,M
389,"_ is also admitted to practice before the International Criminal Tribunal for the Former Yugoslavia, and the International Criminal Tribunal for Rwanda. _ is one of fewer than 40 lawyers in the United States admitted to practice before the ICC. _ can be contacted at john@fossumlaw.com or by phone at 507-645-0002.",attorney,M
390,"_ is the co-founder and co-director of the Integrative Medicine master’s program in Physiology, one of its kind graduate program in the United States that combines human physiology and integrative medicine. _ is presently serving as Chair of the Teaching and Pedagogy Subcommittee of the Faculty Development Committee and on the Committee of Evaluation and Assessment of the medical courses offered at the Georgetown University Medical School.",professor,F
391,Dr. _'s clinical interests encompass lung cancer. _ is professionally affiliated with the University of Mississippi Medical Center (UMMC). _ graduated from MCP Hahnemann School of Medicine. _ takes Medicare insurance.,physician,M
392,"_ has been practicing sustainable design for over 13 years and has worked on numerous projects that have achieved LEED certification. Since joining Perkins+Will, _ has worked on some of the most ambitious sustainable buildings in North America including the Visitor Center at the VanDusen Botanical Gardens and the Center for Interactive Research on Sustainability in Vancouver. As a passionate advocate for high performance, sustainable buildings, _ is a Certified Passive House Designer and a member of the Health Product Declaration Collaborative Technical Committee.",architect,M
393,"_ has acted in many theatrical performances including: “Gods of Autumn,” “Wait Until Dark,” “The Seafarer"", “Inherit the Wind” and “A Midsummer Nights Dream.” _ has also appeared in television in “Death in Small Doses” and “Young Indiana Jones Chronicles.”",professor,M
394,"_ trained in Denmark and Norway and spent three years in New York City doing a clinical and research fellowship in Vascular Anomalies under the tutelage of experts in the field, Milton Waner and Alejandro Berenstein.",surgeon,F
395,"_ is a retired U.S. Air Force public affairs officer whose final assignment was in the Pentagon. _ served as a public affairs instructor at the Defense Information School at Fort Meade, Maryland, and provided public affairs training to Afghan National Army members while working on a government contract in Afghanistan. _ holds a master’s degree in communication from the University of Oklahoma and another master’s degree in adult education from Capella University. _ lives in Reston.",professor,F
396,"Several of _ students applied for internships this summer, _ said, adding that the program enables them to apply their classroom knowledge to a professional setting.",teacher,F
397,"Dr. _ _ is currently working at Family Chiropractic and Homeopathic Centre which is located at 226 Harwood Avenue South, Ajax, ON, L1S. _ provides treatment for conditions as a result of repetitive strain, tension and stress that are imposed on the joints and musculoskeletal system such as carpal tunnel syndrome, tennis elbow and tendonitis. With over 17 positive reviews from around the web, _ is rated as one of the best Chiropractors in the city.",chiropractor,F
398,"Before Wilson Law Group, _ practiced immigration law at Centro Legal, Inc. _ has co-presented on immigration consequences for criminal defendants for the Hennepin County Public Defender’s Office and the Ramsey County Attorney’s Office. _ has also assisted Wilson Law Group’s immigration attorneys in presenting on immigration topics in the Latino c",attorney,F
399,_ concentrates on making playful self portraits in _ personal work. Read on to learn how _ work caught the attention of The Strokes and how viewers impart unintended meaning to _ pictures.,photographer,F
400,"_ is a specialist in the musical culture of the eighteenth and early nineteenth centuries and _ research focuses on the history of orchestration, instrumentality and aesthetics, exploring the intersections between music, science and technology. _ has published articles in Current Musicology, Eighteenth-Century Music, Studia Musicologica, Popular Music, Opera Quarterly and 19th-Century Music. _ has been a member of the Penn Humanities forum and was a fellow at the Radcliffe Institute for Advanced Study in 2009-10.show more",professor,F
401,"_ non-fiction title, Autism By Hand, is an Amazon bestseller and is practical advice _ gleaned from raising _ profoundly autistic daughter. Where to find _ _ online",teacher,F
402,"_ is admitted to the bars in California and the District of Columbia (now an inactive member.) _ began _ legal career in 1967 as an Army Judge Advocate General captain with the 25th Infantry Division in Vietnam for which _ was awarded the Bronze Star. _ then served as a defense appellate attorney with the Army Judiciary in Washington, DC for 3 years and thereafter was a litigation partner with the international law firm of Reed Smith from 1971 through 2006. _ served as co-managing partner of Reed Smith’s Washington, D.C. office for five years and as the head of that office’s litigation group for nearly 20 years.",attorney,M
403,"_ is the founder and CEO of VP Technologies Inc., Marietta, Georgia, a subcontractor to avionics organizations in the areas of virtual prototyping and digital system specification, design, simulation, and synthesis. _ current interests are in rapid prototyping, VHDL-based simulation and synthesis, and legacy systems upgrade. _ obtained _ PhD in electrical engineering and computer science from UC Berkeley. _ is a member of the IEEE and the Computer Society. _ recently coauthored (with M. Ben Romdhane and J.W. Hines) Quick Turnaround ASIC Design in VHDL: Core-Based Behavioral Synthesis.",professor,M
404,"_ has been practicing for 46 years and received _ medical degree from University of Maryland. Dr. _ _ is affiliated with Charlton Memorial Hospital in Fall River, Massachusetts and accepts health insurance from Aetna BCBS Blue Card. No Reviews Favorite",physician,M
405,"As a model _'s known since the age of 14 for being an irritating, violent, rude and even grosse girl. Nice person, isn't _? _ musical career evolved when one of _ songs was used for the NANA anime intro and after that _ started to act in films like Kamikaze Girls and Sakuran. Neverthless the rummors about _ personality _'s quite succesful in film and music industries and _'s still called as a model for magazines like Zipper or Kera. Because at the end being rude doesn't make _ less pretty or stylish.",model,F
406,"Suspense Magazine named A Conflict of Interest one of the best books of 2012, and in 2014, the American Bar Association nominated A Case of Redemption for a Silver Gavel Award. _ and _ family live in New York City. Visit _ at www.adammitzner.com.",attorney,M
407,"_'s article ignored criticisms of the actions of Schubb and Pacifica management, including the revelations that Pacifica had retained the services of a union busting firm, the American Consulting Group, though _ was provided with documentation that disproved many KPFK management claims. _ also failed to confirm management statements with those at the station who knew them to be false, or ignored the statements of informants that contradicted the management line. Even Marc Cooper, another supporter of the Schubb regime, candidly told people in the halls of KPFK at that time, that _'s LA Weekly article was a ""puff piece.""",journalist,M
408,"Apart from being a hip hop and rap artist, _ is also a sound engineer by profession and offers services at _ online recording studio, DB Studio at www.donbelo.ca. _ further provides services for Audio editing, Audio mixing, Audio mastering and Recording, as well as beat selling to the fans and clients.",rapper,M
409,"_. _’ practice includes environmental and mass tort litigation. _. _ has been acknowledged for _ work on environmental issues, being named a “Rising Star – Super Lawyer” for Environmental Litigation. _ has also published with several legal journals, newsletters, and offered legal commentary, all related to environmental law.",attorney,M
410,"_ research and teaching interests focus on international security and U.S. foreign policy. _ book, Leaders at War: How Presidents Shape Military Interventions, was published in 2011 by Cornell University Press and won the 2012 Jervis-Schroeder Best Book Award from APSA’s International History and Politics section. _ research has also been published in journals including International Security, International Studies Quarterly, the American Journal of Political Science, and Security Studies.",professor,F
411,"For _ Master's thesis _ developed Cocovas: an Information Visualization system for Internet Information Retrieval (IR) systems. Cocovas uses a novel Visual Metaphor unifying in a single view the representation of the similarity and the relevance of document search results.As the author explains: ""Regarding Internet IR systems, the opportunities to improve the recovery mechanisms are promising, making possible the application of several tasks from the process of information acquisition. The inclusion of Information Visualization techniques allows to reach greater levels of effectiveness in the exploration of information acquiring novel knowledge and insight of data"".",teacher,M
412,"As an officer of Boston Minuteman Council and the Northeast Region of the Boy Scouts of America, _ held one of the 1,400 votes at this weekâ€™s national BSA meeting. _ youngest son Tano _ is an Eagle Scout.",professor,F
413,"_ attends Boston Conservatory at Berklee and studies music composition. _ has music directed multiple shows, including Boston Conservatory student productions and Miraleste Intermediate School productions. Additionally, _ compositions have won local and national awards. As an actor and assistant music director, _ has participated in countless PVPA Conservatory shows, and attributes much of _ training and insight to the program.",composer,M
414,_ is a graduate of Gordon-Conwell Theological Seminary and Regent-College. _ enjoys reading and reviewing good books on a regular basis. _ is also a keen writer on faith matters. FV Editors,pastor,M
415,_ received _ B.A. in English from Vanderbilt University and M.Ed. in International Education Policy from Vanderbilt’s George Peabody College of Education and Human Development. Dr. _ completed _ Ph.D. at Tennessee State University in Public Administration. _ dissertation research involved an empirical investigation of funding trends and organizational composition in global health.,professor,F
416,"_ says that Section 230 generally allows publishers like Yelp, Craigslist and TripAdvisor to claim immunity from anything that users post on the sites, but if and only if the website administrators can prove that they play a ""passive"" role.",attorney,M
417,"Dr. _ speaks the following languages: Mandarin and Cantonese. _ studied medicine at the University of Texas Southwestern Medical School. _ is in-network for Anthem, Blue Cross/Blue Shield, and Western Health Advantage, in addition to other insurance carriers.",physician,F
418,"Dr. _ _ practices at Kashiba Dental Clinic in Chhani, Vadodara. _ completed BDS from K.M. Shah Dental College Hospital in 2007 and Post-Graduate Certificate in Oral Implantology (PGCOI) from Nair hospital Dental Collegersitye/ Mumbai Univ in 2014._ is a member of Indian Dental Association. Some of the services provided by the doctor are: Aesthetic Dentistry, Implants, Root Canal, Implant Tooth Fixing and Cosmetic Dentistry etc.",dentist,F
419,"Known in the industry as a skilled authority in master planning and design, _ talent has been sought globally. In the past ten years, _ has led the planning and design of over thirty-five million square feet of new facilities, including commercial, retail facilities, research facilities, headquarters offices, suburban office complexes, education and healthcare facilities. Respected by clients for _ success in translating functional requirements into beautiful, flexible design solutions, _ has worked with and forged significant relationships with Fortune 500 clients.",architect,M
420,"_ is the owner and visionary leader of Yoga With _, whose mission is to guide others into their authentic self-expression, and empower effective leaders for the world.",yoga_teacher,F
421,_ own work appears in several journals. _ enthusiasm for poetry and passing that love on to students is evident in both the text and the class discussions seen on the DVD.,teacher,F
422,"_ teaches courses on 20th century American history, the cold war, and American film history. _ received _ Ph.D. in American History from Rutgers University in New Jersey. _ book, Edward Lansdale's Cold War, was published in 2005 by the University of Massachusetts Press. It charted the political and cultural world of an infamous CIA agent. _ has also published articles on the Vietnam War and the CIA. _ is currently writing on the various ways Americans have come to think (and worry and fantasize) about the CIA since its founding in 1947.",professor,M
423,"The list of those who have fallen prey to _’s penmanship includes Jacqueline Kennedy Onassis, Elizabeth Taylor, Frank Sinatra, Nancy Reagan, Oprah Winfrey, the British Royal Family and the Bush Family. The tables were turned on _ when _ found _ subject to an authorized biography, written by George Carpozi and published in 1997 under the title “Poison Pen”. 29. Wear for Teddy Roosevelt : PINCE-NEZ",journalist,F
424,"_ holds a Master's degree in Computer and Information Science from Brooklyn College, and an MBA and a Ph.D. in Business from Zicklin School of Business, Baruch College-The City University of New York. _ research interests include human computer interaction, user acceptance of technology, web interface design, online consumer behavior, and current issues in electronic commerce. _ work has appeared or is forthcoming in conference proceedings, scholarly books, and academic journals such as The Electronic Library and Journal of Electronic Commerce in Organizations. See less",professor,M
425,"_ has been practicing cosmetic dentistry in West Palm Beach for over a decade. This dental practitioner is experienced in facial rejuvenation, periodontal gum treatment, preventive care, oral surgery, endodontic treatment, and restorative dentistry. _ is also available anytime for clients who need crowns and bridges.",dentist,F
426,"_ joined the Johns Hopkins faculty in 2008, after postdoctoral work with Zena Werb in mammary biology and cancer at the University of California, San Francisco. _ earned _ PhD in 2003 in biochemistry and molecular biophysics from the California Institute of Technology, studying with Scott Fraser. _ studies how organs form and how breast cancer progresses to metastasis. _ laboratory recently identified a unique class of breast cancer cells that lead the process of invasion into surrounding tissues – a first step in cancer metastasis. _ is the Guest Editor for this Special Issue (Issue 1, 2017) on 3D cell biology for Journal of Cell Science, and is now a permanent Editor for the journal.",professor,M
427,"Growing up, _ and _ brother would come up with ways to tell stories by using their toys. As _ got older, _ fell in love with music, picking up the trumpet in middle school. In high school _ still held on to _ childhood dreams of having a career as an animator while contemplating how to continue to be involved in music. At the Rochester Institute of Technology, _ decided to pursue a bachelor’s degree in Multidisciplinary Studies, which gave _ the freedom to study film and music.",composer,M
428,"_ subspecialty area is Reconstruction, Continence and Female Urology. _ is the Chief Urologist at King Edward Memorial Hospital for Women, working with the Urogynaecology Unit.",surgeon,F
429,"_ has undergraduate and graduate degrees from Harvard and Georgetown respectively and has held fellowships at the Belfer Center for Science and International Affairs (Harvard University) and the Miller Center (University of Virginia). _ is the author of Coalitions of Convenience: United States Interventions after the Cold War (Oxford University Press, 2011) as well as numerous articles on topics of international security, which _ has published in such journals as the Journal of Conflict Resolution, Security Studies, Foreign Policy Analysis, Political Science Quarterly, and the Journal of Strategic Studies.",professor,F
430,"_ attended James Madison University. _ also has extensive experience in diabetes education and is a member of the American Diabetes Association, the American Association of Diabetes Educators, and the American Public Health Association.",dietitian,F
431,"_ is a previous attendee of both the 25th Eddie Adams Workshop and the 65th Missouri Photo Workshop. _ returns to WWU and other schools around the Pacific Northwest region to speak on the merits of life that photojournalism can provide. Aside from organizing the world into one rectangle at a time, _ enjoys cold showers, hot vacations and temperate attitudes.",photographer,M
432,"_ has worked as a Nurse Practitioner in Women’s Health for the past three years. _ recently relocated back to the area from Fort Wayne, Indiana.",nurse,F
433,"_ specialises in landscape projects indulging _ passion for trees, which _ has extensively researched and photographed. _ colleague, Vidya Tongbram is an enthusiastic tree- spotter and photographer.",architect,M
434,"Dr. _ holds one provisional patent in the field of clean energy conversion, and has authored over 20 scientific articles on the study of structure-property relationships in advanced nanostructured materials.",professor,M
435,For nearly four years _ and _ team have gathered information from Kodiak and Bristol Bay. Their findings were consistent with other fishing communities across the globe. The report points out efforts others are taking to address access issues.,professor,F
436,"_ is a Berklee College of Music graduate who has taught at Music Academy International, Stanford University, the Stanford Jazz Workshop, the JazzSchool, CSU-Stanislaus, and Santa Rosa Junior College. _ is an active endorser of DREAM Cymbals. _ has performed with such acts as the Glimpse Trio, tUneyArDs, Michael Coleman, the Ben Goldberg School, and was a part of _ own percussion group entitled CavityFang. _ has played in such notable venues such as the Hollywood Bowl, the Village Vanguard, Nancy Jazz Pulsations, and the Monterey Jazz Festival. _ can regularly be heard throughout the San Francisco Bay Area.",composer,M
437,"_ also works as a staff psychiatrist at Butler Hospital in Providence, Rhode Island. Before attending medical school at Brown, Dr. _ graduated from the University of Michigan with a Master of Fine Arts in poetry, and holds undergraduate degrees in French and Natural Resources.",professor,F
438,"_ is also Co-Director of the MobiSAM (Mobile Social Accountability Monitoring) project, a digital citizen engagement initiative. _ research areas of interest are in ICT4D and E-governance, with a focus on project management, evaluation, and strategy formulation. _ also conducts research on higher education development in developing countries – with an aim to build capacity and sensitivity to those unique contexts.",professor,F
439,"_ teaches Introduction to Music Education, elementary music methods courses for music majors and elementary education majors, class piano, and piano pedagogy courses; supervises music student teachers, and is the faculty advisor for the ETBU chapter of NAfME Collegiate. Dr. _ holds a Bachelor of Music in Education (instrumental/vocal combined emphasis; piano) from Houghton College, a Master of Education from Indiana Wesleyan University, and a Doctor of Philosophy from the University at Buffalo, The State University of New York. _ has additional education in Orff-Schulwerk (Level 1) and Music Learning Theory (Gordon Institute for Music Learning Early Childhoood Levels 1 & 2 and Elementary General Music Level 1) and is permanently certified to teach Music K-12 in New York State.",professor,F
440,"_ received _ _ in Nutrition Science from Pennsylvania State University. Currently, _ serves as a senior scientific program manager for the European branch of theInternational Life Sciences Institute in Brussels, Belgium.",dietitian,F
441,"_ completed both _ residency in plastic and reconstructive surgery and fellowship in orthopedic hand and upper extremity surgery at the University of Pittsburgh Medical Center. While there, Dr. _ was honored with membership in the Alpha Omega Alpha Honor Society, won the Charles E. Moore Award for resident teaching, and received a Research Fellowship from the Plastic Surgery Education Foundation for _ work in composite tissue allotransplantation. In 2016, Dr. _ was named by _ peers to the Texas Super Doctor® Rising StarSM list for the second year in a row.",surgeon,M
442,_ is a member of NCDD and a rising star in the area of DUI defense in Virginia. _ has experience as both a prosecutor and a defense attorney and has even logged time as a law professor.,attorney,F
443,"_ teaches elementary mathematics methods and content courses to undergraduate and graduate students. _ served as a consultant to the Georgia Department of Education (GADOE) on mathematics curriculum tasks that support the Georgia Performance Standards. The product of this work, “Georgia Performance Standards: K-2 Framework Units”, is found online at the GADOE’s website. _ has conducted numerous sessions of professional development for elementary teachers on a broad range of topics related to mathematics teaching and learning. _ also serves as a University Liaison to a local elementary school and spends one day per week at the school site supporting collaborative activities.",professor,F
444,"Since _ career began at the age of 18, _ has featured in advertisements for designers including Calvin Klein, Chanel, Gucci, Donna Karan, Givenchy, Fendi, Valentino, Versace, Yves Saint Laurent, Chloé and Christian Dior. _ also featured in campaigns for Revlon cosmetics and the Christian Dior perfume J'adore. _ has been shot for the covers of numerous magazines including V magazine, Numero, Elle, GQ, Harper's Bazaar and several international editions of Vogue. _ received the ""Model of the Year"" award at the 2000 VH1/Vogue Fashion Awards.",model,F
445,"Do Da Dash is amazing visually based on the eccentric look of _ as well as the awesome music visual editing. _ _ is definitely unique, both with _ fashion style and _ music.",rapper,F
446,"_ first published poems appeared in The Little Balkans Review in 1982, and _ most recent work will appear in Ad Astra Per Astra, a renga edited by Kansas Poet Laureate Caryn Mirriam-Goldberg, to be released in November 2012. _ has also published short fiction and essays,and has won awards for scriptwriting.",poet,F
447,"_ was born in Kerch on June 23, 1991. _ is listed on FreeOnes since 2013 and is currently ranked 2429th place. _ currently has 23 gallery links in _ own FreeOnes section.",model,F
448,"_ was born on December 22, 1979. _ is listed on FreeOnes since 2018 and is currently ranked 39104th place. _ currently has 3 gallery links in _ own FreeOnes section.",model,F
449,"A New England native, _ was influenced by the region's industrial surroundings and began sketching and painting harbors, bridges and buildings at a young age. _ has worked as a fine art consultant for galleries representing established and notable artists in addition to co-founding a publishing company for emerging artists in the Bay Area. _ introduced _ first series of urban abstract paintings at a solo show in San Francisco and signed exclusive publishing contracts with fine art and graphic industry leaders. Today, editions of _ urban landscape paintings are printed and distributed world-wide.",painter,M
450,"_ graduated from the University of Bologna Faculty of Medicine. _ medical residency was performed at Lincoln Medical and Mental Health Center. Dr. _'s areas of expertise consist of diabetes, hypertension (high blood pressure), and asthma. _ professional affiliations include Highsmith-Rainey Specialty Hospital and Cape Fear Valley Medical Center.",physician,M
451,"With a career that began in the field of Healthcare Law, _ _ channeled _ passion for healthy choices, _ eye for design, and years of skin care research alongside master formulators into a sophisticated, eponymous beauty line.",interior_designer,F
452,"_ key areas of interest are Copyright, Open Access, Knowledge Commons, Law and Economics of Intellectual Property Rights, Competition Law and Empirical Legal Studies. _ did _ doctoral studies at the International Max Planck Research School for Competition and Innovation (IMPRS-CI), which is a doctoral program jointly offered by the Max Planck Institute for Competition and Innovation and the Ludwig Maximilians Universität, Munich. _ post-doctoral research at the Catholic University of Louvain (UCL), Belgium, was in the area of open access to large scale research data. _ recent publications include Piracy in the Film Industry: Copyright and Cultural Consonance (Cambridge University Press 2014).",professor,M
453,"_ was previously a director and shareholder of the Protea Hotel Group and Radio Kfm (CEO). _ is currently on the board of a number of privately owned businesses operating in game farming, hospitality and wine farming industries.",accountant,M
454,"_ has a Bachelor of Psychology, Graduate Diploma in Education Studies and Graduate Diploma in Education (School Psychology). _ has worked over the past 16 year as a psychologist in early childhood intervention, state and private schools and private practice.",psychologist,M
455,_ combines working on editorial projects with teaching digital imaging. A particular area of interest is developing opportunities that the internet and new media offer the contemporary photographer.,photographer,M
456,"_ received _ Bachelor's degree in Philosophy from the University of Exeter, UK, _ Bachelor's degree in Computer Science from the University of Otago, New Zealand, _ Masters and _ PhD degrees from the London School of Economics, UK. _ can be contacted at: mfricke@u.arizona.edu. References Austin, D. (1984). PRECIS: a manual of concept analysis and subject indexing (2 ed.). London: The British Library",professor,M
457,"Joe passed the November 1984 CPA exam with one of the highest scores in the nation, garnering honors at both the state (J.H. Cohn Award nominee) and national level (Elijah Watt Sells Award). _ received a Baccalaureate in Economics/Accounting and a minor in statistics from Rutgers University, graduating summa cum laude as the class salutatorian. Joe also received _ MBA with honors from Seton Hall University earning a Certificate of Achievement in International Business. Joe initiated _ career at Deloitte & Touche (formerly Deloitte, Haskins + Sells) in the tax department as a Senior Tax Accountant. Later, Joe moved to AT&T in the CFO organization as a Senior Financial Analyst before starting _ public accounting practice.",accountant,M
458,"Prior to joining Legal Aid, _ was a civil rights litigator for seven years at a small Brooklyn law firm, Stoll, Glickman & Bellina, LLP, where _ brought over 100 civil rights lawsuits against police and correction officers in New York City and State. _ graduated from CUNY School of Law and Bard College.",attorney,F
459,"_ is also the director of the Intensive Insulin Therapy Clinic at the University of Michigan Diabetes Center and has clinical and research interests in management of type 1 diabetes, narrative medicine, multicultural education, and the patient-doctor relationship.",professor,M
460,"_ was the winner of the TV special Who Wants to Be a Playboy Centerfold?, broadcast on Fox in May 2002. _ starred in the variety production ""Headlights and Tailpipes"" in Las Vegas at the Stardust Resort & Casino.",model,F
461,"One of _ students recently created a short video in the style of RSA animate videos comparing the philosophy of Karl Marx and Adam Smith. All of the content was created in the real world with paper, pens and markers. Once the raw video was complete, it was edited on an iPad with TiltShift Video and iMovie.",teacher,M
462,"_ has toured and performed with many recording artists, including Donald Fagan, Special EFX, Phoebe Snow and Ottmar Leibert. _ is touring internationally as a vocalist/multi- instrumentalist with the Pat Metheny Group during the 1997-98 season. _ composed the theme to the Emmy-award winning PBS series Say Brother and was the featured vocalist in the original motion picture soundtrack of Harriet the Spy. A graduate of Middlebury College, _ studied with John Cage and Bobby McFerrin, among others, at the Berklee College of Music and the New England Conservatory of Music. _ has performed with John Cage, the Boston Symphony Orchestra, the Duke Ellington Orchestra and the Tanglewood Festival Chorus.",composer,M
463,"_ specializes in anthropological political economy and the study of inequality within different forms of social organization. _ current research focuses on the social transformations wrought by changing economies and human ecologies among tribal peoples in the Eastern Amazonian fringe in Brazil. _ has published on ritual, gender, and industrial soybean agriculture, among other topics. _ book, Rain Forest Exchanges: Industry and Community on an Amazonian Frontier (Smithsonian Institution Press) is a historical study of the interaction of indigenous communities and extractive industries. _ has been a senior Fulbright scholar at the University of Bras’lia and a Visiting Distinguished Lecturer at Rhodes University in South Africa. _ is currently a research associate at the Smithsonian Museum of Natural History in Washington, DC.",professor,M
464,"The Bureau of Internet and Technology is responsible for the enforcement of New York’s consumer protection laws in the online and technology environments, handling a wide range of issues including online privacy, data security, gambling and fraud. _. _ recently led the office’s investigation into illegal online tracking in violation of the Children’s Online Privacy Protection Act (COPPA) and co-authored the office’s report on abuses in the live entertainment ticket industry, entitled “Obstructed View: What’s Blocking New Yorkers from Getting Tickets.” Prior to joining the attorney general’s office in 2011, _. _’s practice focused on intellectual properly litigation. _ has also worked as a software developer. _ is a graduate of the Massachusetts Institute of Technology and the University of Michigan Law School.",attorney,M
465,"Among the places _ went were those of severe and challenging beauty. But _ says no matter how attractive they may be, _ does not feel like going there again — instead the place _ goes to over and over again is the hibernal Carpathian Mountains.",photographer,M
466,"_’s been brewing kombucha since February 2014 and loves sharing _ tips, tricks and brews. _ fave flavourings include white fruits such as nectarines, peaches, or apples along with herbs like sage, mint, and rosemary.",teacher,F
467,"_ practices in Annapolis, Maryland and has the professional credentials of AGACNP-BC, AGPCNP-BC. The NPI Number for _ _ _ is 1215301122 and _ holds a License No. R218450 (Maryland).",nurse,F
468,"_ Research areas are Teacher preparation elementary, Teacher preparation secondary, Mental Health and Addictions, problem solving, problem-based learning and Curriculum Studies.",professor,F
469,"Patient ratings for Dr. _ average 4.5 stars out of 5. _ honors several insurance carriers, including Blue Cross/Blue Shield, Blue Cross Blue Shield EPO, and Blue Cross Blue Shield Bronze.",chiropractor,M
